type	lat	lon	name	desc
T	45.280620000	9.440630000		
T	45.279950000	9.441730000		
T	45.279350000	9.442710000		
T	45.278180000	9.444650000		
T	45.277120000	9.446430000		
T	45.276700000	9.447130000		
T	45.275970000	9.448320000		
T	45.275790000	9.448610000		
T	45.275580000	9.448970000		
T	45.274350000	9.451000000		
T	45.273790000	9.451960000		
T	45.273190000	9.452920000		
T	45.272190000	9.454510000		
T	45.271620000	9.455390000		
T	45.271170000	9.456050000		
T	45.270900000	9.456450000		
T	45.270610000	9.456890000		
T	45.270200000	9.457480000		
T	45.269410000	9.458630000		
T	45.268740000	9.459560000		
T	45.267980000	9.460590000		
T	45.267680000	9.460990000		
T	45.267330000	9.461470000		
T	45.266810000	9.462150000		
T	45.266320000	9.462790000		
T	45.266080000	9.463100000		
T	45.265320000	9.464110000		
T	45.264790000	9.464800000		
T	45.264340000	9.465400000		
T	45.263230000	9.466830000		
T	45.262470000	9.467850000		
T	45.261400000	9.469260000		
T	45.259960000	9.471170000		
T	45.259230000	9.472130000		
T	45.258220000	9.473450000		
T	45.255350000	9.477220000		
T	45.254780000	9.477960000		
T	45.254400000	9.478460000		
T	45.253300000	9.479930000		
T	45.252100000	9.481490000		
T	45.251490000	9.482300000		
T	45.250680000	9.483360000		
T	45.249580000	9.484810000		
T	45.249090000	9.485460000		
T	45.248920000	9.485680000		
T	45.246480000	9.488860000		
T	45.244590000	9.491370000		
T	45.243750000	9.492450000		
T	45.238970000	9.498790000		
T	45.237830000	9.500300000		
T	45.237650000	9.500530000		
T	45.237480000	9.500770000		
T	45.236240000	9.502370000		
T	45.232560000	9.507180000		
T	45.232180000	9.507670000		
T	45.230930000	9.509330000		
T	45.228570000	9.512430000		
T	45.228150000	9.512930000		
T	45.226240000	9.515430000		
T	45.223760000	9.518680000		
T	45.222720000	9.520050000		
T	45.219530000	9.524250000		
T	45.216180000	9.528660000		
T	45.205750000	9.542370000		
T	45.197820000	9.552790000		
T	45.194180000	9.557600000		
T	45.192910000	9.559350000		
T	45.192700000	9.559680000		
T	45.192240000	9.560330000		
T	45.191010000	9.562140000		
T	45.190320000	9.563140000		
T	45.189730000	9.564060000		
T	45.189070000	9.565090000		
T	45.188690000	9.565710000		
T	45.188490000	9.566010000		
T	45.187790000	9.567110000		
T	45.187150000	9.568100000		
T	45.186520000	9.569090000		
T	45.185130000	9.571260000		
T	45.184210000	9.572710000		
T	45.183520000	9.573800000		
T	45.182280000	9.575740000		
T	45.181990000	9.576200000		
T	45.181050000	9.577660000		
T	45.179820000	9.579590000		
T	45.178720000	9.581310000		
T	45.177960000	9.582510000		
T	45.177200000	9.583710000		
T	45.176840000	9.584260000		
T	45.176700000	9.584470000		
T	45.176240000	9.585200000		
T	45.175470000	9.586420000		
T	45.175250000	9.586750000		
T	45.173100000	9.590120000		
T	45.171970000	9.591880000		
T	45.171830000	9.592110000		
T	45.171750000	9.592230000		
T	45.171720000	9.592280000		
T	45.171390000	9.592790000		
